2024/08/28 09:03:50 
===============================
______             _           
|  _  \           | |          
| | | |  ___  ___ | | __ _   _ 
| | | | / _ \/ __|| |/ /| | | |
| |/ / |  __/\__ \|   < | |_| |
|___/   \___||___/|_|\_\ \__, |
                          __/ |
                         |___/
===============================   
 - Desky succsessfully started on: 0.0.0.0:443
 - Proxmox module is up: true
===============================                   
2024/08/28 09:18:39 | 10.192.10.100:41784 > /static/images/web-icons/vm.svg.
2024/08/28 09:18:40 | 10.192.10.100:41784 > /static/images/image.jpg.
2024/08/28 09:18:40 | 10.192.10.100:41784 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/css/font-awesome.min.css.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/css/proxmox.css.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/css/index.css.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/images/web-icons/shell.svg.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/images/web-icons/lxc.svg.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/images/web-icons/docker.svg.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/images/web-icons/vm.svg.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/images/image.jpg.
2024/08/28 09:18:57 | 10.192.10.100:47322 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:19:09 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:19:09 | 10.192.10.100:47322 > /static/css/proxmox.css.
2024/08/28 09:19:54 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:19:54 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:19:55 | 10.192.10.100:47322 > /dashboard/docker.
2024/08/28 09:19:55 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:19:55 | 10.192.10.100:47322 > /static/css/proxmox.css.
2024/08/28 09:19:57 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:19:57 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:01 | 10.192.10.100:47322 > /dashboard/docker.
2024/08/28 09:20:02 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:20:02 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:07 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:12 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:17 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:22 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:26 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:20:26 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:26 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:20:26 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:27 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:20:27 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:28 | 10.192.10.100:47322 > /dashboard/docker.
2024/08/28 09:20:28 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:20:28 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:33 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:38 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:41 | 10.192.10.100:47322 > /static/css/404.css.
2024/08/28 09:20:41 | 10.192.10.100:47322 > /static/scripts/404.js.
2024/08/28 09:20:47 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:20:47 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:20:52 | 10.192.10.100:47322 > /static/css/404.css.
2024/08/28 09:20:58 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:20:59 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:04 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:09 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:14 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:19 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:24 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:30 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:35 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:40 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:45 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:50 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:21:55 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:00 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:05 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:10 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:15 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:20 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:25 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:30 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:35 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:40 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:45 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:50 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:22:55 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:00 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:05 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:10 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:15 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:20 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:25 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:30 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:35 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:40 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:45 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:47 | 10.192.10.100:47322 > /static/css/404.css.
2024/08/28 09:23:53 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:23:53 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:23:58 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:03 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:08 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:13 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:18 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:22 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:24:22 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:23 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:24:23 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:24 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:24:24 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:24 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:24:24 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:26 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:24:26 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:27 | 10.192.10.100:47322 > /dashboard/docker.
2024/08/28 09:24:28 | 10.192.10.100:47322 > /static/css/docker.css.
2024/08/28 09:24:28 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:24:28 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:29 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:24:29 | 10.192.10.100:47322 > /static/css/proxmox.css.
2024/08/28 09:24:30 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:24:33 | 10.192.10.100:47322 > /static/css/404.css.
2024/08/28 09:24:39 | 10.192.10.100:47322 > /dashboard/panel.
2024/08/28 09:24:39 | 10.192.10.100:47322 > /api/system.
2024/08/28 09:24:44 | 10.192.10.100:47322 > /dashboard/docker.
2024/08/28 09:24:44 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:24:48 | 10.192.10.100:47322 > /dashboard/docker.
2024/08/28 09:24:49 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:25:19 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:25:19 | 10.192.10.100:47322 > /static/css/proxmox.css.
2024/08/28 09:25:19 | 10.192.10.100:47322 > /dashboard/proxmox.
2024/08/28 09:25:19 | 10.192.10.100:47322 > /static/css/proxmox.css.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /dashboard/proxmox.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/css/font-awesome.min.css.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/css/proxmox.css.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/css/index.css.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/images/web-icons/shell.svg.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/images/web-icons/docker.svg.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/images/web-icons/lxc.svg.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/images/web-icons/vm.svg.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/images/image.jpg.
2024/08/28 09:25:20 | 10.192.10.100:43420 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /dashboard/proxmox.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/css/font-awesome.min.css.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/css/proxmox.css.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/css/index.css.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/images/web-icons/shell.svg.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/images/web-icons/docker.svg.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/images/web-icons/lxc.svg.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:25:21 | 10.192.10.100:43424 > /static/images/web-icons/vm.svg.
2024/08/28 09:25:22 | 10.192.10.100:43424 > /static/images/image.jpg.
2024/08/28 09:25:22 | 10.192.10.100:43424 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /dashboard/proxmox.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/css/font-awesome.min.css.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/css/proxmox.css.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/css/index.css.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/images/web-icons/shell.svg.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/images/web-icons/docker.svg.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/images/web-icons/lxc.svg.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/images/web-icons/vm.svg.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/images/image.jpg.
2024/08/28 09:25:22 | 10.192.10.100:43428 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
